num_shots,launch_velo_mean,launch_velo_std,launch_velo_inconsistency_zscore,launch_velo_inconsistency_percentile,launch_velo_consistency_percentile,launch_angle_mean,launch_angle_std,launch_angle_inconsistency_zscore,launch_angle_inconsistency_percentile,launch_angle_consistency_percentile,launch_distance_inconsistency_zscore,launch_distance_inconsistency_percentile,launch_distance_consistency_percentile,dist_from_sweet_mean,dist_from_sweet_std,shooting_percentage,shooting_percentage_zscore,shooting_percentage_percentile,command,command_zscore,command_percentile,inconsistency_score,inconsistency_score_percentile,consistency_score_percentile
857,14.49263605,0.259198291,-0.183212877,44.77782652,55.22217348,46.09013071,1.514844682,-0.286865482,29.76839282,70.23160718,0.373673765,45.81412769,54.18587231,0.353147762,0.202472314,0.802800467,0.310509893,72.61813192,0.71069521,0.688301541,76.24319856,-0.470078358,42.81558201,57.18441799
265,14.64718538,0.260890558,-0.131964389,45.56829755,54.43170245,48.20924782,1.597655292,0.01195471,34.63999812,65.36000188,0.34758371,45.41376952,54.58623048,0.400383886,0.207884536,0.80754717,0.370124707,73.64551096,0.689115525,-0.182406559,61.9279878,-0.120009679,46.43925533,53.56074467
856,14.98247751,0.284829862,0.593012045,56.7505371,43.2494629,50.29951356,1.129315741,-1.678037855,7.088390259,92.91160974,0.513576936,47.96097555,52.03902445,0.333145227,0.182732634,0.918224299,1.760141385,97.60053012,0.724653603,1.251501857,85.50270956,-1.085025811,36.45006345,63.54993655
296,14.81752517,0.33133208,2.001282351,78.4720927,21.5279073,50.83662431,1.489995198,-0.37653428,28.3065405,71.6934595,1.729128813,66.61391186,33.38608814,0.505696493,0.247380804,0.608108108,-2.134671216,30.47880999,0.639810824,-2.171777686,29.22096808,1.624748071,64.49980309,35.50019691
373,14.856684,0.239686298,-0.774112899,35.66361909,64.33638091,47.30822193,1.419881025,-0.629539668,24.18184468,75.81815532,-0.327902088,35.04827726,64.95172274,0.356975292,0.213710399,0.804289544,0.329211522,72.94042868,0.706186222,0.506370612,73.25209329,-1.403652567,33.15185558,66.84814442
208,14.35686673,0.247474889,-0.538243664,39.30173222,60.69826778,46.06905977,1.734096365,0.504299202,42.66659105,57.33340895,-0.869170227,26.74238731,73.25761269,0.387852332,0.214150886,0.697115385,-1.016810645,49.74359421,0.692978453,-0.026543184,64.49051944,-0.033944462,47.33014402,52.66985598
202,14.71183648,0.282987982,0.53723266,55.89018024,44.10981976,47.58490443,1.535093461,-0.213798229,30.95959351,69.04040649,1.453828371,62.38936027,37.61063973,0.337438133,0.201971696,0.841584158,0.7976022,81.01249563,0.717738747,0.972497722,80.91563498,0.323434431,51.02948771,48.97051229
297,15.10976192,0.223133863,-1.275385801,27.93184545,72.06815455,48.62931659,1.339046884,-0.921227817,19.42651163,80.57348837,-0.188912474,37.18110637,62.81889363,0.367882028,0.197079413,0.767676768,-0.130615819,65.01593904,0.705544145,0.480463728,72.82616122,-2.196613619,24.94366108,75.05633892
410,15.0149363,0.269039255,0.114810264,49.37461891,50.62538109,50.18860827,1.399940347,-0.701495148,23.00876902,76.99123098,0.474282401,47.35799144,52.64200856,0.354408917,0.2134826,0.836585366,0.734821343,79.9305542,0.707343815,0.553077739,74.01999974,-0.586684884,41.60855042,58.39144958
274,14.85382484,0.23264843,-0.987247256,32.37617508,67.62382492,46.53699549,1.136940094,-1.65052555,7.536917817,92.46308218,-0.410507011,33.78068482,66.21931518,0.339534542,0.186843292,0.821167883,0.541190029,76.59358572,0.720695341,1.091791883,82.87693643,-2.637772806,20.37708067,79.62291933
194,14.7963369,0.277463021,0.369915064,53.30942678,46.69057322,50.74597558,1.434406949,-0.577123206,25.0363797,74.9636203,0.37038086,45.76359727,54.23640273,0.334555295,0.18862708,0.87628866,1.233463124,88.52395713,0.722508403,1.164946232,84.07965859,-0.207208142,45.53663603,54.46336397
221,14.16711291,0.269110547,0.116969267,49.40791997,50.59208003,44.30087432,1.881453619,1.036034484,51.33536409,48.66463591,0.287963395,44.49888143,55.50111857,0.388631961,0.220773761,0.669683258,-1.361336329,43.80616952,0.691102712,-0.102226537,63.24621822,1.153003751,59.61662614,40.38337386
641,14.2262618,0.261329451,-0.118672978,45.773308,54.226692,50.67025557,1.718654716,0.448578365,41.75818548,58.24181452,-1.330656407,19.66077073,80.33922927,0.467649057,0.285825603,0.658346334,-1.503719074,41.3523994,0.645961362,-1.923612665,33.30102038,0.329905387,51.09647066,48.90352934
295,14.57444037,0.294612552,0.889270415,61.32010917,38.67989083,48.26841982,1.533025514,-0.221260366,30.83793979,69.16206021,0.792349467,52.23880718,47.76119282,0.332627725,0.196969117,0.857627119,0.999089016,84.48484282,0.721202998,1.112275102,83.21369865,0.668010049,54.59630059,45.40369941
1377,14.25558166,0.278293832,0.395075306,53.6975054,46.3024946,41.22885408,1.738125956,0.518839891,42.90364498,57.09635502,0.632649103,49.78816663,50.21183337,0.441477435,0.270856133,0.652142338,-1.581636321,40.00960319,0.65878609,-1.406154028,41.80849774,0.913915197,57.14174374,42.85825626
361,14.84470235,0.241282039,-0.725787561,36.40900264,63.59099736,50.55481752,1.213783649,-1.37323734,12.05749157,87.94250843,-0.693368882,29.44010128,70.55989872,0.385675536,0.2091501,0.833795014,0.699776743,79.32660886,0.69505449,0.057221811,65.86768999,-2.099024901,25.95383324,74.04616676
315,14.86746655,0.266641371,0.042192888,48.25454817,51.74545183,51.24719021,1.516370831,-0.281358408,29.85817353,70.14182647,-0.111517033,38.36875804,61.63124196,0.361381589,0.207929192,0.847619048,0.873395607,82.31869039,0.705750822,0.48880284,72.96326359,-0.23916552,45.20583495,54.79416505
426,14.66768986,0.259753861,-0.166388056,45.03733727,54.96266273,50.8476954,1.421091544,-0.62517154,24.2530574,75.7469426,-0.498502097,32.43037903,67.56962097,0.390650261,0.228446417,0.795774648,0.222271199,71.0974598,0.68844766,-0.209353933,61.48494915,-0.791559595,39.48782648,60.51217352
449,14.96822092,0.302629175,1.132045329,65.06473744,34.93526256,48.94481301,1.60953595,0.054825793,35.33891674,64.66108326,1.435745458,62.11187361,37.88812639,0.340896486,0.193311708,0.821826281,0.549458977,76.73608962,0.718446223,1.001043346,81.38495027,1.186871122,59.96719818,40.03280182
423,14.24137994,0.28269077,0.528231894,55.75134992,44.24865008,47.41441793,1.741046762,0.52937955,43.0754709,56.9245291,-0.527915945,31.97901645,68.02098355,0.422518533,0.228285681,0.713947991,-0.805406508,53.38685276,0.675563366,-0.729215965,52.93795783,1.057611444,58.62918974,41.37081026
117,14.9271785,0.23388615,-0.949764224,32.95432386,67.04567614,53.30605383,1.307308032,-1.035756742,17.55936967,82.44063033,-0.859273351,26.89425726,73.10574274,0.452292101,0.26440735,0.760683761,-0.218442423,63.50236874,0.656207675,-1.510189197,40.09806762,-1.985520966,27.12874892,72.87125108
200,14.13680654,0.311553724,1.402315844,69.23346555,30.76653445,45.46942626,2.293521884,2.522973401,75.57662929,24.42337071,1.836102696,68.25545185,31.74454815,0.418534087,0.224017813,0.72,-0.729398085,54.69675304,0.678096915,-0.626991044,54.6186259,3.925289245,88.31344356,11.68655644
127,14.83243368,0.325336931,1.819725634,75.67171105,24.32828895,50.54968423,1.65336576,0.21298466,37.91734884,62.08265116,1.245438431,59.19156645,40.80843355,0.447647127,0.235906945,0.692913386,-1.069584407,48.83411127,0.664008865,-1.195422825,45.27310499,2.032710294,68.72275107,31.27724893
615,14.56272226,0.272448968,0.218069802,50.96732295,49.03267705,46.50994344,1.562566997,-0.114660599,32.57581428,67.42418572,0.654217575,50.11914003,49.88085997,0.357954478,0.198372988,0.795121951,0.214073848,70.95618977,0.709598726,0.644060036,75.51582911,0.103409203,48.75193592,51.24806408
